index	vertices	closed
0	1 36 0	1
1	36 1 41	1
2	41 1 2	1
3	31 41 2	1
4	3 31 2	1
5	31 3 48	1
6	48 3 4	1
7	5 48 4	1
8	5 59 48	1
9	59 5 6	1
10	7 59 6	1
11	58 59 7	1
12	58 7 8	1
13	57 58 8	1
14	56 57 8	1
15	9 56 8	1
16	10 56 9	1
17	10 55 56	1
18	55 10 11	1
19	54 55 11	1
20	12 54 11	1
21	54 12 13	1
22	35 54 13	1
23	14 35 13	1
24	46 35 14	1
25	15 46 14	1
26	46 15 45	1
27	45 15 16	1
28	41 31 40	1
29	31 29 40	1
30	29 39 40	1
31	39 29 28	1
32	27 39 28	1
33	42 27 28	1
34	29 42 28	1
35	42 29 47	1
36	29 35 47	1
37	35 46 47	1
38	29 31 30	1
39	35 29 30	1
40	31 32 30	1
41	32 33 30	1
42	33 34 30	1
43	34 35 30	1
44	49 31 48	1
45	31 49 32	1
46	49 50 32	1
47	50 33 32	1
48	51 33 50	1
49	33 51 52	1
50	34 33 52	1
51	53 34 52	1
52	34 53 35	1
53	53 54 35	1
54	37 36 41	1
55	37 41 40	1
56	38 37 40	1
57	39 38 40	1
58	43 42 47	1
59	44 43 47	1
60	46 44 47	1
61	44 46 45	1
62	36 17 0	1
63	17 36 18	1
64	36 37 18	1
65	37 19 18	1
66	37 20 19	1
67	37 38 20	1
68	20 38 21	1
69	38 39 21	1
70	39 27 21	1
71	27 22 21	1
72	27 42 22	1
73	42 43 22	1
74	22 43 23	1
75	43 44 23	1
76	44 24 23	1
77	24 44 25	1
78	44 26 25	1
79	26 44 45	1
80	26 45 16	1
81	19 20 24	1
82	23 20 21	1
83	24 20 23	1
84	22 23 21	1
85	0 17 77	1
86	17 75 77	1
87	75 17 18	1
88	18 76 75	1
89	76 18 19	1
90	19 68 76	1
91	19 69 68	1
92	19 70 69	1
93	19 71 70	1
94	71 19 24	1
95	24 80 71	1
96	24 72 80	1
97	24 73 72	1
98	24 79 73	1
99	79 24 25	1
100	25 74 79	1
101	74 25 26	1
102	74 26 78	1
103	78 26 16	1
104	59 60 48	1
105	60 49 48	1
106	49 60 59	1
107	67 49 59	1
108	61 49 67	1
109	49 61 50	1
110	61 51 50	1
111	51 61 62	1
112	61 67 62	1
113	67 66 62	1
114	63 66 65	1
115	62 66 63	1
116	51 62 63	1
117	51 63 52	1
118	63 53 52	1
119	53 63 65	1
120	55 53 65	1
121	55 64 53	1
122	53 64 54	1
123	64 55 54	1
124	55 65 56	1
125	65 66 56	1
126	56 66 57	1
127	66 58 57	1
128	66 67 58	1
129	67 59 58	1
