index	vertices	closed
0	9 42 8	1
1	42 43 8	1
2	31 15 16	1
3	34 3 4	1
4	5 34 4	1
5	43 44 8	1
6	44 7 8	1
7	27 19 18	1
8	19 27 28	1
9	15 32 14	1
10	32 15 31	1
11	10 42 9	1
12	14 25 13	1
13	25 19 20	1
14	19 25 33	1
15	25 32 33	1
16	32 25 14	1
17	29 1 2	1
18	30 19 33	1
19	19 30 18	1
20	24 25 20	1
21	45 5 6	1
22	5 45 34	1
23	7 45 6	1
24	44 45 7	1
25	19 21 20	1
26	21 22 20	1
27	21 19 28	1
28	29 21 28	1
29	21 29 2	1
30	3 21 2	1
31	21 3 34	1
32	1 26 0	1
33	26 1 29	1
34	30 27 18	1
35	27 27 18	1
36	12 40 11	1
37	25 40 13	1
38	40 12 13	1
39	22 23 20	1
40	23 24 20	1
41	24 23 38	1
42	36 23 22	1
43	53 45 44	1
44	35 36 22	1
45	35 21 34	1
46	21 35 22	1
47	53 35 45	1
48	39 49 51	1
49	49 39 38	1
50	39 40 25	1
51	39 24 38	1
52	24 39 25	1
53	23 37 38	1
54	37 23 36	1
55	37 49 38	1
56	37 48 49	1
57	53 52 48	1
58	52 44 43	1
59	52 53 44	1
60	45 46 34	1
61	46 35 34	1
62	35 46 45	1
63	41 51 42	1
64	41 39 51	1
65	10 41 42	1
66	41 10 11	1
67	40 41 11	1
68	47 53 48	1
69	37 47 48	1
70	47 37 36	1
71	35 47 36	1
72	47 35 53	1
73	39 50 40	1
74	50 41 40	1
75	41 50 39	1
76	51 52 42	1
77	42 52 43	1
78	49 52 51	1
79	48 52 49	1
