index	vertices	closed
0	0 1 36	1
1	1 36 41	1
2	1 2 41	1
3	2 40 41	1
4	2 3 40	1
5	3 40 39	1
6	3 4 39	1
7	4 39 27	1
8	4 5 27	1
9	5 6 27	1
10	6 7 27	1
11	7 8 27	1
12	8 9 27	1
13	9 10 27	1
14	10 11 27	1
15	11 27 42	1
16	11 12 42	1
17	12 42 47	1
18	12 13 47	1
19	13 47 46	1
20	13 14 46	1
21	14 46 45	1
22	14 15 45	1
23	15 45 16	1
24	37 36 41	1
25	37 41 40	1
26	38 37 40	1
27	39 38 40	1
28	43 42 47	1
29	44 43 47	1
30	46 44 47	1
31	44 46 45	1
32	36 17 0	1
33	17 36 18	1
34	36 37 18	1
35	37 19 18	1
36	37 20 19	1
37	37 38 20	1
38	20 38 21	1
39	38 39 21	1
40	39 27 21	1
41	27 22 21	1
42	27 42 22	1
43	42 43 22	1
44	22 43 23	1
45	43 44 23	1
46	44 24 23	1
47	24 44 25	1
48	44 26 25	1
49	26 44 45	1
50	26 45 16	1
51	19 20 24	1
52	23 20 21	1
53	24 20 23	1
54	22 23 21	1
55	0 17 77	1
56	17 75 77	1
57	75 17 18	1
58	18 76 75	1
59	76 18 19	1
60	19 68 76	1
61	19 69 68	1
62	19 70 69	1
63	19 71 70	1
64	71 19 24	1
65	24 80 71	1
66	24 72 80	1
67	24 73 72	1
68	24 79 73	1
69	79 24 25	1
70	25 74 79	1
71	74 25 26	1
72	74 26 78	1
73	78 26 16	1
